=== Wendlemire Human-vs-Human Balance (12-win curve) ===
Seeds/matchup: 24   Target: 15-25s @ 60tps
Knobs this pass: CombatBalance VitalHpScale=0.9 LimbHpScale=0.78 ArmorK=110 (ElvishLeaf diminishing, on-hit stacks free)
Sever dump: currentBlood * (subtree BloodAmount / body BloodAmount) on Severe()

--- Human blood shares if severed (subtree / body @ full pool) ---
  Weight total 1354   MaxBlood 5000
  Finger                   0.2%      11 blood
  Hand+digits              2.5%     127 blood
  Arm+hand                 8.5%     423 blood
  Foot                     2.2%     111 blood
  Leg+foot                12.6%     628 blood
  Head (own, not severable)   3.7%     185 blood
  Torso (own)             22.2%    1108 blood

Band    Matchup                                         med.s   mean   p10   p90  band%  Awin%  bleed%  organ%  sever%  loseB%  winB%   DPS  waste%  cap%  topCause
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R1-3    Club vs Club (naked)                             26.5   25.4  18.5  31.6     29     58       0     100      58      78     97  46.4       0     0  Torso was destroyed (Heart failed) (21)
R1-3    Axe vs Axe (naked)                               24.2   30.3  16.5  45.9     58     67       8      92      42      78     98  44.0       8     0  Torso was destroyed (Heart failed) (17)
R1-3    Spear vs Axe (naked)                             19.3   20.5  11.1  30.8     50     63       0     100      46      89     99  59.2       0     0  Torso was destroyed (Heart failed) (16)
R1-3    Knife vs Knife (naked)                           23.5   23.6  15.4  33.3     58     46       0     100      25      83     97  46.9       0     0  Torso was destroyed (Heart failed) (17)
R1-3    Hammer vs Club (naked)                           27.6   26.9  19.3  37.0     46     42       0     100      58      74     96  37.0       0     0  Torso was destroyed (Heart failed) (21)
R1-3    Dual-primitive vs Axe (naked)                    24.0   23.7  14.2  33.8     50     58       0     100      42      90     99  44.6       0     0  Torso was destroyed (Heart failed) (20)
R1-3    Axe+cloth vs Axe+cloth                           24.8   26.3  14.6  38.4     38     50       4      96      46      89     99  37.9       0     0  Torso was destroyed (Heart failed) (18)
R1-3    Club+cloth vs Club+cloth                         28.5   30.4  20.7  35.7     38     58       4      96      67      74     94  38.9       4     0  Torso was destroyed (Heart failed) (21)
R1-3    Spear+cloth vs Axe+cloth                         24.3   26.6  14.9  46.3     46     63       0     100      25      84     98  50.5       0     0  Torso was destroyed (Heart failed) (21)
R1-3    Axe+leather-core vs Axe+leather-core             26.5   27.7  16.7  38.8     42     38       4      96      54      75     92  34.5       0     0  Torso was destroyed (Heart failed) (18)
R1-3    Sword+Fester+cloth vs Axe+cloth                  10.8   11.0   6.2  14.5      4    100       0      88      50      93    100 109.8       0     0  Torso was destroyed (Heart failed) (15)
R1-3    Dagger+Fester+cloth vs Sword+cloth                9.9   10.3   7.0  14.8      8     63       0      96      25     100    100  99.1       0     0  Torso was destroyed (Heart failed) (15)

R4-6    Sword+leather vs Sword+leather                   25.0   25.2  14.1  35.0     33     67       0     100      50      95    100  60.8       0     0  Torso was destroyed (Heart failed) (15)
R4-6    Mace+leather vs Sword+leather                    27.8   28.9  13.5  50.6     25     63       0     100      67      95    100  54.3       0     0  Torso was destroyed (Heart failed) (11)
R4-6    IronAxe+leather vs Sword+leather                 27.3   28.6  16.4  40.3     25     54       0     100      46      90    100  55.4       0     0  Head was destroyed (Brain failed) (10)
R4-6    Claws+leather vs Sword+leather                   25.6   24.1  12.6  33.0     21     50       0     100      42      92    100  54.2       0     0  Torso was destroyed (Heart failed) (14)
R4-6    Dual-iron+Fester+leaf vs same                    20.3   21.6   9.6  34.1     42     54       0      92      63     100    100  63.9       0     0  Torso was destroyed (Heart failed) (12)
R4-6    Dual-dagger+Fester+leaf vs Dual-iron             22.9   27.2  12.5  42.0     42     67       8      79      46      95    100  61.8       4     0  Torso was destroyed (Heart failed) (11)
R4-6    Sword+Fester+leather-ench vs same                21.8   22.8  12.0  34.4     42     58       0      92      29     100    100  55.0       0     0  Torso was destroyed (Heart failed) (15)
R4-6    Sword+Bite+BloodBath vs Sword+leather            25.7   26.3  15.0  36.1     29     50       0     100      63      89    100  56.7       0     0  Torso was destroyed (Heart failed) (17)
R4-6    FireStaff+Fester+leather vs Sword+leather        30.4   30.2  13.6  40.4     21     46       0      83      58      80    100  38.2       4     0  Torso was destroyed (Heart failed) (14)
R4-6    StormStaff+leather vs Sword+leather              25.6   28.9  20.2  44.9     33     46       0      96      46      90    100  31.9       0     0  Torso was destroyed (Heart failed) (12)
R4-6    Ember+Dagger+leather vs Sword+leather            32.4   31.3  17.1  49.9     21     33       0     100      54      83    106  37.5       0     0  Torso was destroyed (Heart failed) (13)
R4-6    Chain-partial vs Sword+leather                   23.2   23.0  10.0  33.0     38     42       0     100      50      96    104  50.0       0     0  Torso was destroyed (Heart failed) (13)
R4-6    WD-partial+BoneEater vs Sword+leather            26.8   26.5  19.2  38.7     46     58       0     100      33      91    100  49.9       0     0  Torso was destroyed (Heart failed) (13)
R4-6    WD-partial+Bite vs Mace+leather                  28.1   29.8  21.6  44.0     38     71       0     100      38      91    100  57.5       0     0  Torso was destroyed (Heart failed) (18)

METAL   Dagger vs Sword (leather)                        26.1   26.7  17.3  34.6     33     46       0     100      54      91    100  57.4       0     0  Torso was destroyed (Heart failed) (17)
