=== Wendlemire Human-vs-Human Balance (12-win curve) ===
Seeds/matchup: 24   Target: 15-25s @ 60tps
Knobs this pass: CombatBalance VitalHpScale=0.9 LimbHpScale=0.78 ArmorK=110 (ElvishLeaf diminishing, on-hit stacks free)
Sever dump: currentBlood * (subtree BloodAmount / body BloodAmount) on Severe()

--- Human blood shares if severed (subtree / body @ full pool) ---
  Weight total 1354   MaxBlood 5000
  Finger                   0.2%      11 blood
  Hand+digits              2.5%     127 blood
  Arm+hand                 8.5%     423 blood
  Foot                     2.2%     111 blood
  Leg+foot                12.6%     628 blood
  Head (own, not severable)   3.7%     185 blood
  Torso (own)             22.2%    1108 blood

Band    Matchup                                         med.s   mean   p10   p90  band%  Awin%  bleed%  organ%  sever%  loseB%  winB%   DPS  waste%  cap%  topCause
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R1-3    Club vs Club (naked)                             25.1   25.8  18.0  36.0     50     50       0     100      58      91     99  46.4       0     0  Torso was destroyed (Heart failed) (21)
R1-3    Axe vs Axe (naked)                               19.6   19.4  11.6  26.2     71     58       0     100      50      97    100  59.3       0     0  Torso was destroyed (Heart failed) (18)
R1-3    Spear vs Axe (naked)                             19.5   21.3  12.0  28.5     71     63       0     100      50      95    100  60.8       0     0  Torso was destroyed (Heart failed) (20)
R1-3    Knife vs Knife (naked)                           23.0   24.7  17.2  34.3     71     50       0     100      54      89    100  46.9       0     0  Torso was destroyed (Heart failed) (19)
R1-3    Hammer vs Club (naked)                           28.7   31.0  20.4  36.8     29     29       4      96      71      87     98  35.5       4     0  Torso was destroyed (Heart failed) (22)
R1-3    Dual-primitive vs Axe (naked)                    22.9   28.6  16.4  46.4     63     58       4      96      58      89    100  43.0       4     0  Torso was destroyed (Heart failed) (18)
R1-3    Axe+cloth vs Axe+cloth                           27.3   30.4  18.4  54.9     50     50       8      92      58      89     99  42.8       0     0  Torso was destroyed (Heart failed) (19)
R1-3    Club+cloth vs Club+cloth                         29.4   29.6  22.2  36.3     33     58       0     100      67      83     99  44.8       0     0  Torso was destroyed (Heart failed) (23)
R1-3    Spear+cloth vs Axe+cloth                         23.1   23.5  14.2  34.1     46     42       0     100      54      91    100  44.3       0     0  Torso was destroyed (Heart failed) (19)
R1-3    Axe+leather-core vs Axe+leather-core             22.7   30.3  14.2  59.1     50     63       4      96      46      88     99  47.4       4     0  Torso was destroyed (Heart failed) (19)
R1-3    Sword+Fester+cloth vs Axe+cloth                   9.6   11.3   4.0  16.3      4     92       0      88      29     105    100 111.6       0     0  Torso was destroyed (Heart failed) (13)
R1-3    Dagger+Fester+cloth vs Sword+cloth               11.8   12.1   7.7  19.2     21     75       0      88      42     100    100  91.3       0     0  Torso was destroyed (Heart failed) (15)

R4-6    Sword+leather vs Sword+leather                   30.4   32.3  15.5  49.7     25     38       4      96      42      98    110  43.2       4     0  Torso was destroyed (Heart failed) (13)
R4-6    Mace+leather vs Sword+leather                    27.9   32.1  15.5  51.8     33     21       4      96      38     100    118  33.8       4     0  Torso was destroyed (Heart failed) (15)
R4-6    IronAxe+leather vs Sword+leather                 30.9   35.3  15.5  48.3     17     46       4      96      38      97    100  37.9       4     0  Torso was destroyed (Heart failed) (18)
R4-6    Claws+leather vs Sword+leather                   36.9   38.8  19.0  56.0     25     33       4      96      54      96    100  33.0       4     0  Torso was destroyed (Heart failed) (15)
R4-6    Dual-iron+Fester+leaf vs same                    26.4   29.4  16.0  46.6     38     54       0      88      46      97    100  51.7       0     0  Torso was destroyed (Heart failed) (15)
R4-6    Dual-dagger+Fester+leaf vs Dual-iron             23.5   24.8  15.9  36.0     50     54       0      92      63     100    100  55.4       0     0  Torso was destroyed (Heart failed) (17)
R4-6    Sword+Fester+leather-ench vs same                29.9   29.1  17.7  38.2     38     63       0      88      50     100    100  54.8       0     0  Torso was destroyed (Heart failed) (9)
R4-6    Sword+Bite+BloodBath vs Sword+leather            32.7   32.1  11.2  42.5     21     58       4      96      42      98    100  52.9       4     0  Torso was destroyed (Heart failed) (14)
R4-6    FireStaff+Fester+leather vs Sword+leather        29.1   32.2  16.6  47.0     21     54       0      96      46     100    100  43.4       4     0  Torso was destroyed (Heart failed) (15)
R4-6    StormStaff+leather vs Sword+leather              31.8   32.0  19.8  41.6     21     50       0     100      54      94    100  43.5       0     0  Torso was destroyed (Heart failed) (16)
R4-6    Ember+Dagger+leather vs Sword+leather            29.5   35.2  15.2  70.5     21     46       4      96      50     100    100  39.4       4     0  Torso was destroyed (Heart failed) (15)
R4-6    Chain-partial vs Sword+leather                   30.8   34.3  14.9  67.0     17     50       4      96      33     100    100  46.7       4     0  Head was destroyed (Brain failed) (11)
R4-6    WD-partial+BoneEater vs Sword+leather            35.1   37.4  22.8  57.3     13     63       4      96      54      88    100  57.5       4     0  Torso was destroyed (Heart failed) (15)
R4-6    WD-partial+Bite vs Mace+leather                  32.9   32.4  21.4  46.4     21     83       0     100      63     100    100  59.1       0     0  Torso was destroyed (Heart failed) (17)

METAL   Dagger vs Sword (leather)                        28.5   31.9  15.5  51.0     29     46       4      96      42     100    113  55.2       4     0  Torso was destroyed (Heart failed) (16)
METAL   Knuckles vs Sword (leather)                      28.7   32.0  18.0  43.7     25     25       4      96      38     100    121  36.8       4     0  Torso was destroyed (Heart failed) (13)
METAL   Axe vs Sword (leather)                           30.9   35.3  15.5  48.3     17     46       4      96      38      97    100  37.9       4     0  Torso was destroyed (Heart failed) (18)
METAL   Hammer vs Sword (leather)                        35.7   39.8  22.5  44.3     17     42       8      92      54      84    100  36.5       8     0  Torso was destroyed (Heart failed) (14)
METAL   Mace vs Sword (leather)                          27.9   32.1  15.5  51.8     33     21       4      96      38     100    118  33.8       4     0  Torso was destroyed (Heart failed) (15)
METAL   Claws vs Sword (leather)                         36.9   38.8  19.0  56.0     25     33       4      96      54      96    100  33.0       4     0  Torso was destroyed (Heart failed) (15)
METAL   Sword vs Sword (leather)                         30.4   32.3  15.5  49.7     25     38       4      96      42      98    110  43.2       4     0  Torso was destroyed (Heart failed) (13)
METAL   Axe vs Axe (leather)                             30.5   35.9  14.4  56.3     17     38       8      92      54     100    103  41.5       8     0  Torso was destroyed (Heart failed) (13)
METAL   Mace vs Mace (leather)                           29.1   30.4  17.6  43.8     13     50       0     100      67     100    100  46.8       0     0  Torso was destroyed (Heart failed) (16)
